id_evento,fecha,turno,linea,tiempo_respuesta_min,tipo_evento
E001,2024-11-04,Mañana,Formado,62.45,Desviación velocidad
E002,2024-11-04,Mañana,Sellado,48.30,Alarma presión
E003,2024-11-04,Tarde,Corte,71.20,Falla sensor
E004,2024-11-04,Noche,Formado,55.80,Producto defectuoso
E005,2024-11-05,Mañana,Sellado,89.15,Desviación temperatura
E006,2024-11-05,Tarde,Corte,43.50,Alarma velocidad
E007,2024-11-05,Noche,Formado,67.90,Falla mecánica
E008,2024-11-06,Mañana,Sellado,52.30,Producto defectuoso
E009,2024-11-06,Tarde,Corte,78.60,Desviación presión
E010,2024-11-06,Noche,Formado,45.20,Alarma sensor
E011,2024-11-07,Mañana,Sellado,95.40,Falla eléctrica
E012,2024-11-07,Tarde,Corte,58.75,Desviación velocidad
E013,2024-11-07,Noche,Formado,64.10,Producto defectuoso
E014,2024-11-08,Mañana,Sellado,51.80,Alarma temperatura
E015,2024-11-08,Tarde,Corte,73.25,Falla hidráulica
E016,2024-11-08,Noche,Formado,59.90,Desviación calidad
E017,2024-11-09,Mañana,Sellado,46.40,Alarma presión
E018,2024-11-09,Tarde,Corte,82.50,Falla sensor
E019,2024-11-09,Noche,Formado,68.30,Producto defectuoso
E020,2024-11-10,Mañana,Sellado,54.70,Desviación velocidad
E021,2024-11-11,Tarde,Corte,76.85,Alarma nivel
E022,2024-11-11,Noche,Formado,61.20,Falla mecánica
E023,2024-11-12,Mañana,Sellado,49.60,Desviación temperatura
E024,2024-11-12,Tarde,Corte,87.40,Falla eléctrica
E025,2024-11-12,Noche,Formado,56.90,Producto defectuoso
E026,2024-11-13,Mañana,Sellado,72.15,Alarma presión
E027,2024-11-13,Tarde,Corte,44.80,Desviación velocidad
E028,2024-11-13,Noche,Formado,63.50,Falla sensor
E029,2024-11-14,Mañana,Sellado,91.20,Falla hidráulica
E030,2024-11-14,Tarde,Corte,57.30,Producto defectuoso
E031,2024-11-14,Noche,Formado,69.75,Alarma temperatura
E032,2024-11-15,Mañana,Sellado,53.40,Desviación calidad
E033,2024-11-15,Tarde,Corte,79.60,Falla mecánica
E034,2024-11-15,Noche,Formado,47.90,Alarma velocidad
E035,2024-11-16,Mañana,Sellado,65.80,Desviación presión
E036,2024-11-16,Tarde,Corte,84.30,Falla eléctrica
E037,2024-11-16,Noche,Formado,58.25,Producto defectuoso
E038,2024-11-17,Mañana,Sellado,51.70,Alarma sensor
E039,2024-11-17,Tarde,Corte,74.95,Desviación velocidad
E040,2024-11-18,Noche,Formado,62.10,Falla hidráulica
E041,2024-11-18,Mañana,Sellado,48.85,Alarma temperatura
E042,2024-11-18,Tarde,Corte,88.50,Falla mecánica
E043,2024-11-18,Noche,Formado,55.60,Producto defectuoso
E044,2024-11-19,Mañana,Sellado,70.40,Desviación calidad
E045,2024-11-19,Tarde,Corte,43.20,Alarma presión
E046,2024-11-19,Noche,Formado,66.90,Falla sensor
E047,2024-11-20,Mañana,Sellado,93.75,Falla eléctrica
E048,2024-11-20,Tarde,Corte,59.30,Desviación velocidad
E049,2024-11-20,Noche,Formado,52.80,Producto defectuoso
E050,2024-11-21,Mañana,Sellado,77.65,Alarma nivel
E051,2024-11-21,Tarde,Corte,46.50,Falla mecánica
E052,2024-11-21,Noche,Formado,64.20,Desviación temperatura
E053,2024-11-22,Mañana,Sellado,81.90,Falla hidráulica
E054,2024-11-22,Tarde,Corte,54.40,Producto defectuoso
E055,2024-11-22,Noche,Formado,68.75,Alarma velocidad
E056,2024-11-23,Mañana,Sellado,50.60,Desviación presión
E057,2024-11-23,Tarde,Corte,75.30,Falla sensor
E058,2024-11-23,Noche,Formado,61.85,Alarma temperatura
E059,2024-11-24,Mañana,Sellado,47.20,Producto defectuoso
E060,2024-11-25,Tarde,Corte,85.40,Falla eléctrica
E061,2024-11-25,Noche,Formado,57.95,Desviación calidad
E062,2024-11-25,Mañana,Sellado,72.60,Alarma presión
E063,2024-11-26,Tarde,Corte,44.30,Falla mecánica
E064,2024-11-26,Noche,Formado,66.10,Desviación velocidad
E065,2024-11-26,Mañana,Sellado,90.25,Falla hidráulica
E066,2024-11-27,Tarde,Corte,53.70,Producto defectuoso
E067,2024-11-27,Noche,Formado,69.45,Alarma sensor
E068,2024-11-27,Mañana,Sellado,56.80,Desviación temperatura
E069,2024-11-28,Tarde,Corte,78.95,Falla eléctrica
E070,2024-11-28,Noche,Formado,48.60,Alarma velocidad
E071,2024-11-28,Mañana,Sellado,63.25,Producto defectuoso
E072,2024-11-29,Tarde,Corte,86.70,Falla mecánica
E073,2024-11-29,Noche,Formado,51.90,Desviación presión
E074,2024-11-29,Mañana,Sellado,74.35,Alarma temperatura
E075,2024-11-30,Tarde,Corte,45.80,Falla sensor
E076,2024-11-30,Noche,Formado,67.50,Producto defectuoso
E077,2024-11-30,Mañana,Sellado,92.10,Falla eléctrica
E078,2024-12-01,Tarde,Corte,58.40,Desviación calidad
E079,2024-12-01,Noche,Formado,71.85,Alarma presión
E080,2024-12-01,Mañana,Sellado,49.25,Falla hidráulica
E081,2024-12-02,Tarde,Corte,83.60,Desviación velocidad
E082,2024-12-02,Noche,Formado,55.10,Producto defectuoso
E083,2024-12-02,Mañana,Sellado,68.90,Alarma sensor
E084,2024-12-02,Tarde,Corte,42.70,Falla mecánica
E085,2024-12-03,Noche,Formado,76.20,Desviación temperatura
E086,2024-12-03,Mañana,Sellado,60.55,Alarma velocidad